id,date,sales,profit,customers
1,2026-01-01,202.0,263.0,44.0
2,2026-01-02,535.0,150.0,42.0
3,2026-01-03,960.0,154.0,14.0
4,2026-01-04,,40.0,50.0
5,2026-01-05,206.0,186.0,37.0
6,2026-01-06,171.0,293.0,16.0
7,2026-01-07,800.0,108.0,
8,2026-01-08,120.0,33.0,81.0
9,2026-01-09,714.0,261.0,21.0
10,2026-01-10,221.0,284.0,
11,2026-01-11,566.0,72.0,42.0
12,2026-01-12,314.0,,57.0
13,2026-01-13,430.0,,32.0
14,2026-01-14,558.0,,71.0
15,2026-01-15,187.0,225.0,97.0
16,2026-01-16,,100.0,46.0
17,2026-01-17,199.0,69.0,53.0
18,2026-01-18,971.0,21.0,95.0
19,2026-01-19,763.0,73.0,44.0
20,2026-01-20,230.0,125.0,74.0
21,2026-01-21,,279.0,56.0
22,2026-01-22,408.0,210.0,87.0
23,2026-01-23,,,12.0
24,2026-01-24,443.0,63.0,10.0
25,2026-01-25,591.0,181.0,
26,2026-01-26,,221.0,99.0
27,2026-01-27,905.0,289.0,
28,2026-01-28,485.0,290.0,36.0
29,2026-01-29,291.0,234.0,18.0
30,2026-01-30,376.0,271.0,
31,2026-01-31,260.0,,
32,2026-02-01,559.0,232.0,99.0
33,2026-02-02,413.0,227.0,51.0
34,2026-02-03,121.0,256.0,86.0
35,2026-02-04,,,60.0
36,2026-02-05,847.0,299.0,72.0
37,2026-02-06,956.0,236.0,61.0
38,2026-02-07,,271.0,13.0
39,2026-02-08,574.0,207.0,
40,2026-02-09,158.0,,24.0
41,2026-02-10,,176.0,52.0
42,2026-02-11,781.0,34.0,38.0
43,2026-02-12,575.0,,45.0
44,2026-02-13,799.0,28.0,22.0
45,2026-02-14,882.0,148.0,41.0
46,2026-02-15,289.0,155.0,80.0
47,2026-02-16,786.0,82.0,68.0
48,2026-02-17,662.0,158.0,95.0
49,2026-02-18,975.0,100.0,
50,2026-02-19,666.0,182.0,75.0
